,,,,,,,,,,,,,,,,,,,,,,,,,
Market Snapshot,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 19-04-2025 to 19-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,,,,,,,,,,,,,,,,,,
15-05-2025,15,14:00 - 14:15,10698.50,25283.10,5712.50,5712.50,3290.17,,,,,,,,,,,,,,,,,,
15-05-2025,15,14:15 - 14:30,10891.00,25153.30,5793.90,5793.90,3371.49,,,,,,,,,,,,,,,,,,
15-05-2025,15,14:30 - 14:45,11460.80,24692.20,6336.20,6336.20,3381.96,,,,,,,,,,,,,,,,,,
15-05-2025,15,14:45 - 15:00,11730.50,23944.00,6587.30,6587.30,3406.76,,,,,,,,,,,,,,,,,,
15-05-2025,16,15:00 - 15:15,12134.60,21053.70,7435.40,7435.40,3471.01,,,,,,,,,,,,,,,,,,
15-05-2025,16,15:15 - 15:30,12502.00,21405.20,7757.90,7757.90,3471.23,,,,,,,,,,,,,,,,,,
15-05-2025,16,15:30 - 15:45,12692.00,20519.90,7750.20,7750.20,3565.07,,,,,,,,,,,,,,,,,,
15-05-2025,16,15:45 - 16:00,12710.70,19820.10,7718.30,7718.30,3565.16,,,,,,,,,,,,,,,,,,
15-05-2025,17,16:00 - 16:15,12665.60,17169.10,7395.61,7395.61,3598.13,,,,,,,,,,,,,,,,,,
15-05-2025,17,16:15 - 16:30,12904.90,16014.90,6903.63,6903.63,3620.80,,,,,,,,,,,,,,,,,,
15-05-2025,17,16:30 - 16:45,13248.30,14529.20,6802.89,6802.89,3640.59,,,,,,,,,,,,,,,,,,
15-05-2025,17,16:45 - 17:00,13291.90,13349.20,6688.30,6688.30,3692.82,,,,,,,,,,,,,,,,,,
15-05-2025,18,17:00 - 17:15,12244.30,12655.80,5724.80,5724.80,3639.26,,,,,,,,,,,,,,,,,,
15-05-2025,18,17:15 - 17:30,12013.50,11610.10,5406.40,5406.40,3692.20,,,,,,,,,,,,,,,,,,
15-05-2025,18,17:30 - 17:45,11311.80,10136.20,4537.70,4537.70,3692.61,,,,,,,,,,,,,,,,,,
15-05-2025,18,17:45 - 18:00,11648.90,9481.00,4481.20,4481.20,3846.58,,,,,,,,,,,,,,,,,,
15-05-2025,19,18:00 - 18:15,10821.50,8925.00,4323.15,4323.15,3710.69,,,,,,,,,,,,,,,,,,
15-05-2025,19,18:15 - 18:30,10733.10,8204.50,4146.50,4146.50,3930.49,,,,,,,,,,,,,,,,,,
15-05-2025,19,18:30 - 18:45,11541.60,6886.70,4417.80,4417.80,4226.87,,,,,,,,,,,,,,,,,,
15-05-2025,19,18:45 - 19:00,12034.00,5979.20,4795.30,4795.30,4479.65,,,,,,,,,,,,,,,,,,
15-05-2025,20,19:00 - 19:15,13950.80,2999.60,2999.60,2999.60,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,20,19:15 - 19:30,14386.60,1964.20,1964.20,1964.20,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,20,19:30 - 19:45,14434.10,1747.30,1747.29,1747.29,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,20,19:45 - 20:00,14440.70,1487.90,1487.90,1487.90,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,21,20:00 - 20:15,14468.20,1676.70,1676.70,1676.70,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,21,20:15 - 20:30,14812.00,1755.20,1755.20,1755.20,10000.00,,,,,,,,,,,,,,,,,,
15-05-2025,21,20:30 - 20:45,15612.80,1589.60,1589.58,1589.58,10000.00,,,,,,,,,,,,,,,,,,
